DECADE,YEAR,TITLE,PRIMARYCATEGORY,DESCRIPTION,SOURCE,IMAGE,radius
2010s,2015,Call me Caitlyn,Icons,"Vanify Fair and Annie Leibowitz's coverage of Bruce Jenner's transition to his female identity Caitlyn wasn't just a story. It was a symbol. The man and the woman became an instant icon amidst the turbulent and fascinating public conversation about sexual identity.",http://www.vanityfair.com/hollywood/2015/06/caitlyn-jenner-bruce-cover-annie-leibovitz,https://img.washingtonpost.com/rf/image_1484w/2010-2019/WashingtonPost/2015/06/01/Style/Images/VF_JULY_COVER1433178010.jpg?uuid=rJu6egh_EeWVHo4VCQ1krg,15
2010s,2014,Chanel Shopping Center,Fashion / Retail,,,http://images.thesartorialist.com/thumbnails/2014/03/Chanel2682web.jpg,15
2010s,2012,Coachella,Event,,,http://assets.nydailynews.com/polopoly_fs/1.1062280!/img/httpImage/image.jpg_gen/derivatives/article_970/tupac17f-1-web.jpg,15
1980s,1982,Compact Disc Player,Tech,,,http://www.wired.com/images_blogs/thisdayintech/2009/09/sony.jpg,15
1990s,1996,David Beckham,Icons,,,http://static.guim.co.uk/sys-images/Guardian/Pix/pictures/2013/5/16/1368716109568/David-Beckham-1997.--008.jpg,15
1980s,1981,Dead Kennedys: In God We Trust,Music,"The San Francisco punk band's most biting social commentary to date, this album art put a gold Christ figure on a cross of dollar bills, and placed the band at the center of punk's social protest at the time.","https://en.wikipedia.org/wiki/In_God_We_Trust,_Inc.","https://upload.wikimedia.org/wikipedia/en/f/f0/Dead_Kennedys_-_In_God_We_Trust,_Inc._cover.jpg",15
2010s,2014,Divergent,Film,,,http://www.alicemarvels.com/wp-content/uploads/2013/11/divergent-poster.jpg,15
1980s,1982,E.T. Release,Film,"Held the record for highest grossing film of all time, for 11 years (until Jurrasic Park)",,http://ia.media-imdb.com/images/M/MV5BMTc1NTQ0MTUyNF5BMl5BanBnXkFtZTcwMDYzMDU2Mw@@._V1_SX640_SY720_.jpg,15
2010s,2013,Edward Snowden,Icons,,,http://www.americanthinker.com/legacy_assets/articles/assets/edward-snowden.png,15
2000s,2000,Eminem,Icons,,,http://s3.amazonaws.com/rapgenius/eminem_2000_527075.jpg,15
2000s,2004,Farenheit 9/11,Film,,,http://www.spring.org.uk/images/michael_moore.jpg,15
1990s,1999,Fight Club,Film,,,http://assets.rollingstone.com/assets/2014/article/fight-club-sequel-to-be-published-as-comic-book-series-next-year-20140722/19014/_original/1035x687-fightclub-1800-1406035542.jpg,15
1980s,1983,First cell phone,Tech,,,http://netdna.webdesignerdepot.com/uploads/cellphone_design/dkmb86g_487pr55s2hc_b.jpg,15
2010s,2014,FKA Twigs,Music,,,http://beardedgentlemenmusic.com/wp-content/uploads/2014/09/FKA-Twigs-Dazed-Digital.jpg,15
1980s,1983,Flashdance,Film,,,http://www.viz4u.net/v3/img/moviepremium/actual/Flashdance.jpg,15
1990s,1994,Friends,TV,,,http://imgick.syracuse.com/home/syr-media/width620/img/entertainment_impact/photo/16086839-mmmain.jpg,15
2010s,2011,Game of Thrones,TV,,,http://pixel.nymag.com/imgs/daily/vulture/2011/04/15/15_gameofthrones12.w529.h352.2x.jpg,15
2010s,2012,Gangham Style,Music,"The most 'liked' video in YouTube history and the first video to reach 1 billion views. K-Pop's Gangham Style was an instant international phenomenon, attributed simply to its addictive beat and goofiness.",http://www.huffingtonpost.com/news/gangnam-style/,http://theinsidedrop.com/wp-content/uploads/2015/05/gangnam-style.jpg,15
2010s,2012,Girls,TV,"Written and directed by Lena Dunham, Girls became the new "Sex and the City" for Millennials. A portrait of the millennial struggle to become your own person in the 21st century, the show garnered attention from the television and writing communities from Day 1. Girls is heralded and criticized for its uniquely realistic portrayal of sex, race, and feminism.",http://www.nytimes.com/2012/04/13/arts/television/lena-dunhams-girls-begins-on-hbo.html?_r=0,http://exiledonline.com/wp-content/uploads/2012/04/hbo-s-girls-is-the-best-new-tv-show-of-2012.jpg,15
2000s,2009,Glee,TV,,,http://www.tvposter.net/posters/glee_2009_4094_poster.jpg,15
1980s,1982,Grandmaster Flash: The Message,Music,,,http://img2.wikia.nocookie.net/__cb20110607161848/lyricwiki/images/2/27/Grandmaster_Flash_And_The_Furious_Five_-_The_Message.jpg,15
1980s,1987,Guns n Roses,Music,,,http://images1.villagevoice.com/imager/u/original/6650041/gunsnroses_1987shot.jpg,15
2010s,2013,Haim,Music,,,http://cdn.chartattack.com/wp-content/uploads/2013/02/haim.jpg,15
2000s,2001,Harry Potter,Film,,,http://hdmoviespoint.com/wp-content/uploads/2014/07/Download-Harry-Potter-and-the-Philosophers-Stone-Movie.jpg,15
2010s,2013,Her,Film,,,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQP9D0fYR7E2rSZ9GkSYTOpkDM3Of0eoFrOmiVTpo5O1IAjV-pI3g,15
1980s,1981,IBM Personal Computer,Tech,,,http://www.extremetech.com/wp-content/uploads/2011/08/ibm-pc.jpg,15
1990s,1998,iMac,Tech,,,http://kr-tech.net/wp-content/uploads/iMac-Bondi-Blue-1998.jpg,15
2000s,2007,In Rainbows,Music,,,https://upload.wikimedia.org/wikipedia/en/2/2e/In_Rainbows_Official_Cover.jpg,15
2010s,2014,Interstellar,Film,"A science-fiction film about an esteemed and secret group of astronauts who find and travel through a wormhold in the universe, in an effort to find a safer place for humanity to live. A futuristic Odyssey, a hero's journey to do the right thing no matter how lonely and unsafe it is. Heavily criticized by black hold scientists, but an important film for the imagination of everyone living on this planet.",http://www.nytimes.com/2014/11/01/business/media/christopher-nolans-film-stirs-everything-but-indifference.html?_r=0,http://www.wired.com/wp-content/uploads/2014/10/ut_interstellar2_f.png,15
2010s,2010,iPad,Tech,"When Steve Job launched the iPad, he did it lounging on a sofa on stage. In doing so, he proved the need for an entirely new category between the iPhone and the laptop. This was a global statement about the new comforts of technology and the lifestyle it would soon afford us all.",http://www.imore.com/history-ipad-2010,http://productvisions.com/wp-content/uploads/2014/01/stevejobs-using-ipad.jpg,15
2000s,2007,iPhone,Tech,,,http://img.timeinc.net/time/daily/2007/0707/iphone_320.jpg,15
2000s,2001,iPod,Tech,,,http://images.macworld.com/images/article/2011/10/original-ipod-386-259663.jpg,15
2010s,2012,It's Halftime in America,Advertising,"Chrysler's 2-minute Super Bowl commercial in 2012 told the story of the American automobile industry rebounding from the financial crisis of the late 2000s. A powerful and encouraging 'half-time pep talk' not only for the industry, but for Americans everywhere. Narrated by a Clint Eastwood and created by Weiden + Kennedy.",http://www.huffingtonpost.com/2012/02/06/super-bowl-commercials-2012-clint-eastwood-chrysler_n_1255352.html,http://blog.chrysler.com/wp-content/uploads/2012/02/halftime.jpg,15
2000s,2008,Jay and Bey,Icons,,,http://images.lifeandstylemag.com/uploads/posts/image/31798/beyonce-jay-z.jpg,15
2010s,2014,Jennifer Lawrence,Icons,,,http://cdni.condenast.co.uk/720x1080/g_j/Jennifer-Lawrence_glamour_14nov13_rex_b_720x1080.jpg,15
2010s,2014,Kanye and Kim,Icons,,,http://pixel.nymag.com/imgs/fashion/daily/2014/09/25/25-kim-kardashian-kanye-west-pfw.w529.h793.2x.jpg,15
1990s,1994,Kate and Johnny,Icons,,,http://cdn.buzznet.com/assets/users16/amypiehoneybunch/default/90s-love-johnny-depp-kate--large-msg-136078444982.jpg?post_id=106685042,15
2010s,2010,Kayne: Runaway,Film,"One year after stealing the microphone from Taylor Swift at the MTV Music Awards, Kanye released his defense in the lyrics of Runaway. Widely acclaimed as his best-written work to date, the song and 10-minute video portray a world of perfection, juxtaposed by the fact that it won't change the fact he can be a real asshole.",http://www.rollingstone.com/music/lists/50-best-songs-of-2010-20101214/kanye-west-feat-pusha-t-runaway-20101215,http://img.cache.vevo.com/Content/VevoImages/video/FFE94AA9BCADD2CD9FA88F9E47A6D2F8.jpg,15
2010s,2011,Kinfolk,Media,,,https://s-media-cache-ak0.pinimg.com/236x/ea/85/6f/ea856fa550df24c0756288f2d172508f.jpg,15
2000s,2008,Kings of Leon,Music,,,http://images3.mtv.com/uri/mgid:file:docroot:vh1.com:/sitewide/flipbooks/img/events/grammys_2009/nominees_gallery/84181981_10.jpg?enlarge=false&matte=true&matteColor=black&quality=0.85,15
2000s,2008,Lady Gaga,Icons,,,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcT7f2BwVMpAmeCGIV37YEew_j0Z5qOlsKgy_-S1B44yVG3TqLINfw,15
2000s,2004,Lost,TV,,,http://i.telegraph.co.uk/multimedia/archive/02215/lost_2215111k.jpg,15
2000s,2008,Louis Vuitton Trashbags,Fashion / Retail,,,http://www.carryology.com/wp-content/uploads/2012/11/Louis-Vuitton-Trash-Bag.jpeg,15
1980s,1984,Madonna: Material Girl,Music,"Revered as the song that turned Madonna into an icon, she claimed in an interview that while material possessions last longer than emotions.",https://en.wikipedia.org/wiki/Material_Girl,http://www.stevebevis.co.uk/wp-content/gallery/madonna/Madonna-Sing07MaterialGirl.jpg,15
1990s,1996,Marilyn Manson,Icons,,,http://www.lesinrocks.com/wp-content/thumbnails/uploads/2015/01/marylin-manson-yntht-tt-width-758-height-400-bgcolor-FFFFFF.jpg,15
1980s,1987,Married with Children,TV,,,http://j.static-locatetv.com/images/content/4/886548_married_.._with_children.jpg,15
2010s,2013,Miley Cyrus,Icons,,,http://saintheron.com/wp-content/uploads/2013/10/Miley-Cyrus-Terry-Richardson-2013-23.jpg,15
1980s,1981,MTV Launch,Media,"The first music related cable station, launched in New York City. Its cheap content (music videos) initally ran 24/7, but soon the channel became a place to chart pop culture's progress. It established music video as a new tenant of the music industry, bringing fans closer to their beloved stars.",,http://www.bdtorino.net/files/130612_mtv_117683151.jpg,15
1990s,1994,My So Called Life,TV,,,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wCEAAkGBxQSEhUUEBQVFBUUFBUUFRQUFRQVFBQUFBQWFhQUFBQYHCggGBolHBQUITEhJSksLi4uFx8zODMsNygtLisBCgoKDg0OFxAQGCwkICQsLywsLCwsLCwsLCwtLCwsLC4sLCwsLCwsLCwsMCwsLCwsLCwsLCwsLCwsLCwsLCwsLP/AABEIAPkAygMBIgACEQEDEQH/xAAcAAABBQEBAQAAAAAAAAAAAAACAAEDBQYEBwj/xABAEAABAwEFBAgDBgUDBQEAAAABAAIRAwQFEiExBkFRYRMiMnGBkaGxQsHRByNScuHwFDNigrKSovEkQ1NzwhX/xAAZAQADAQEBAAAAAAAAAAAAAAAAAQIDBAX/xAAoEQACAgICAgAFBQEAAAAAAAAAAQIRAyESMRNRBDJBYeEiQlKB8DP/2gAMAwEAAhEDEQA/AO9JIJ4VmYydJJIBJJJIAZJOkgBkkk6ABQlUW0m1NOy9UfeVfwA5N4F53d2qxNo2ltVY5vwN4NAj11UuRcYNnqEpivOLn2gNF46SoSDk6RPj4K8o7YMe6GNcecQp5+yvG7o1MJioLDbG1RIOe8b10FWna0Q006YBUblI5AUARlC5GUJSAicoypHKMpAiJyjIUzlEUhkZCBSFDCANWnSSC0IFCSdJADJJ00IASFEkgBlm9sdpBZWYKcGs8dUa4G/jI9h9Fa37ezLLSdUfnua3e950aP3oCvMbFTdaarq1YySZPM7mgcAonLijTHjc3Rx07A58vqHUklzjqdSSd5RUbO09l/nMea0tW7xU6h0kTHt7LVXFsLQcASD5rl8tnd41F0eaXlZzhaZncYMiQuJtpLBDciva7V9mlNw+7JHfv715vthsjWspxOb1eIVxlemTKP1iUNlvWs1wIeZ5ZeS9H2evnpmw/tDfxH1Xn9hsYq03FvaYJjeY3fvir3Z+rhcCDpHkYz9kOai9B4nKG9+jdlAU7DIlIrpOGqIygcpHKMpARuUZClKjKQERUZUrgoikMAoUZCCEAasJJJLQkSdMnTAZJJJIBJFOszt1fPQWctaYfU6jeIntO8B6whgjF7ZXwbVaMLDNOmSxnBx+J/y7hzXfdbRTpzwGXMlZSxMzlaGvXhrA4dUdZ3OMvefILlzbaR34EoxcjcbN3eHtDsjOsGc969DuixYWiF5NcF40p/6WoadSJ6N4OFw5St7s9tZ0hwPGF41AOR5hZJV2U3fRubM3iqva662VaDg4bj7K0stQQCjvdgdSMbwt2v0mSdSR8xXBT6O11GbpLfWPYrruqiQ4g82+IE/JFaLP0de0O3iqAPNpPuFY1KQDzze13m39VyTlbO+EaijQ3Y+aYnxXQVwXS7UeP1XeV24ZXBHlZ48cjQDkBRlRuWhmAVG5SFRlICNyjKkKjKQAOQIygQBq06ZPC0JEkknTAYhMiTQkAFR0BeO7YXma9oJBljeoznHad4n0AXpG2FuNKgQzt1Ips/M6c/ASfBeTW2nFQMHwgA95zPv6KG9lxWiWyNzAXplzbNMr0W4tYBngvNrOOs397xHsV69srX6gAXJk7R6MPlogsWybKDnPJGbCyJhvEEt3xqM1DsPdhqW6cWJrGgE6Bzt5hTbX3iWAU2mHvB8G73dy1n2YXawUQ9hBcRJPNO3KkyOKimy82uqCjSxNkAQMjGZyAXmbtqGYnNfUqUyHFp6zgMQEkZ5EwRlzXslusQrUy1wB7418d68q2s2Jw06zqYEvkuJxa7yBMA5ASqcVtsiEnSSPP7bXxOd1sWKoXSd4yGfkFY1XZMPED0lZmzAgQd0j/ctHMtZ4jzI+pXNNUzvhtFjdtq+9g/uR9VelY+lVioORA/fotex0gEbwun4Z6aOD42NSTBKBykKBy6DjIyonKUqNyAInKMqRyApDI3IEbkEIA1YTpgnWhA4Tpk6AElCdA/h593BAGP2krdJaAD2KFMuJ4vdllzDf8l5u12Jznfidl/cZPp7re3rVmzV6x/7pcW90w3/a1qwbRGAcAXHvIn2hZezeK6O9ghzPyg+v6rf7OW3CAG8MyvPCdOTR/i36Faq66+KgWN1ORIyMd65po67NDedgbaniHjpCCySRGF2RaZ1C3+z+ybqFnNOz13Mc0tDXAMdG8jrAgjcvKrlucPMVnvpx2TqDyMrf7NW61WYtJIr0NHMbPSNGmJoORjgEos6Hgbhyiz0iyBwaA8gmOsQIBO/JcF+U29G4ngV02W3tqCWGR3R6bliPtT2iFnszwD1nAgDmVq5apHBBPlbPD7W4dJXLdBUdH+pXFhMt7o9QqGgw9A4nVxBPeST7K9uxvVPc35QufKehidr+jktFYh5O8FbC47V0lMcljbwpFpeeBg9y7dmbzwEA6HI8lWN8dmfxEOao2rlGUYMiUJXaeUROUblK5ROSAicgKkKByBkbkCNyjQBqwnTBOtCAk4Qp0AOuO834aNV28U3nyaYXWobVQ6Sm9n4mub5ghDGjA7T08FkZSGUEN8MMj3WLB658Vt9qWF1Gk45OB6OoPw1GMcCfTyIWMoUvvIPH5ElYezoiromtDYaI3tH+KsNlbyh4B8kNos0tb+ULP2Z5a4Fpgg6qYpTizbLcJI+mtmbopOY3pQCXif8AhaCldLKPYA9F5Hs7tVXYxhcA/CMoOHLyVvb/ALSKpbApRlvcsk4pDlbembe+L7bQDjIGWa+fduNojbK8A9QGB9VLtTfte0dt2Fv4RkPErM2SlJ/e9XBfuZD/AIovei+5H9bhHgCPory7GweWnjII9Qqq29UUmjhi84j2KnNr6NmI5Zg+UOH75rmknJHemkWFoptqBwjtD/6kKnp3Q4PcW/Ce7fH0KrX3uQZaeHt+pR2e12mpJpsqOB1LWkjKN61jikjGWaDezfXVVMYSZ4H5Fd5Wa2Xp1C4moCIaBnMyTOc74haVy6MdpbODK05WiMqJylco3KzMicgKkcgKAInKNSOQSkBqgnQolqSOnTJwgBJwEycIEU9/XSKjHlmTyN2jiOziHpK8zvGyYK0jsuc7dEF0nCeBiF7Baq7abHPqENa0EuJ0AXkG09/Mr1i6g0sZOc6vIjrkfDoPILOUfRtjnT2WwcCWg6kD0dJWPaMLyDuJHjKtjbuw6eXrKq7xb1y78WfisMMabTOr4iSaTX0Nvs9aAWAHcuu8LbTYCTHosTYLWWrorOBMnPv+imWPZMZ6AvG29IZ0Hv8Aoiuuhic0cTn+Ua+iTQDoBHvv/VWVzkNxVTo0Od/azTzciTqNI0grdsG8amK0OA0b1f8ASM/UlQXxVyawCTGPPQDcT4TkuCz2jrF79M3O55zA7z7qY2erVmo4Q1x3QXRybrAEKo46a+wp5U4vfZx0siAyHHLUSBpn5+y1NlvOrQADKjXB2rcOQyjOR7FUFLCzQCNxJ9+fJSsvGmHTBdyAyPIknLLfC64yhxprZhKMo9yVevwaq677OIgjECd0+QlaGnUDgHNMgrz9u0DR/LodGdzhVJcOMSFbXDfokh0kHMzqOZHzUUyZcJfKalyicpionJGJEUJRFCUAROUakco0hmqCdCES0JHThMnCYDp0yrNqq+Cx13DXonAd7ur80AYPb7anpybPRP3TT13f+Rw3D+kHzKxqaElJQVOpAg6KUVpGE58FzlMk0UpNE9J0LrL1BATudlCl7LWjqpuJBjk0f3a+gKkt1sw0wxvxAT+QZtHzXLRq9T+9zj4MAHuVxVKhcSTqVKhbLc6jolbUHxDLd9eZTm1ujC0kN7/dcyIBapGDYczqjCAIgrRIbSuljyILTDtxH79FzNC6WjJUhG92cvdtZgbo5ohzSZMxMjkc47lbOXl1ntLqVRtSnk5pnkRvBW5uS/6dpEdmoNWHeOLeI9llJUV3stCgcjKBykRE5Ro3KNSM1QRBAEQWhI4RBME6YDqv2lsxqWSuwamk6O8CR7KwRRxQB89pBWG0F3/w9oq0tzXnD+U5t9CFXNKRQimTuTIA6qygc5TEyB3LnKlFNhtf1SOJn9FGkkqJEAjCYIgEwCCIJmhSAKkIdoU4KjY1SFUhAuK5aNc06ge0wWukeBXS9yG77H01dtP8ThPIalTIaPUKb8TQeIB8xKZyKIEDdl4JnLEZC5RqR6jlIDUhGFGEQWhIaJCE4TAJOEIRIAwX2oXPIbaWDswyp3E9R3gTHiF5uV9A2mztqMcx4lrwWuB3giF4ff8AdTrLXfSdnhMtP4mHsu/e8FIaK5IJk4QMPHlCGEgEQCdADCeEQCUIAYBGAmARtCYggFI1qZoRNJJhgJPIEnwAVCD0QFyN1jqQTgcQNYExGsxooYPA+RRYUM8q+2TsmbqxIGEgAHIwBJI4iYCr7puiraXQxpiQHOjITprErS2q7HUG02uhrScJc04sgczPy5KbtpG0Elbfo0RQOTUHSxvcNdUnFZszI3qJG8qOVIGpCIIJRNK0RIadCCnCYBgpwhBXLbr0o0RNaqxnJxEnubqUAdwKxP2pXaHUWVx2qbsDubH6d8OjzKO8vtDoMkUGPqncSMDPXP0WCvu/K1rdirOyHZYMmN7m8eZzQCKsBOAnSQMScJkpTAJOhlOEAEF0UKJccgecAmBxyUVGJzWxuhzGUsbhkxrnFoMYokgJOVdFcaVsof8A87LE4Ow7iQWg/VWV0V2UX9bqh4c2QM2yMiAO5Wd+XsypZ2DDBJDmiAMMDPvyyWVe0ufhJHGSYGk6/vRTGPK3Lo38kOHFR2y7st403U6jWNxVMQxO0DmtOYA5j3V4xjK9AOo1nUGszqDPrac5/VY11iq0A2vAwEwc+O+F3U6sHE3sOM5HzTxwc5aE1j4d7L2y2hlJtVgl7XYgHNMPIOWZOhjkua3Wtrg1obDGANY3QDPV3Fx1nJWl15UK1Kowk1KfTMcCPhH6BVFaw1RTDyyAeMg8ilXCaUurNIeOalJd9Ky5u4/dtnn7lSvXLdTnFhL97uHAALpcUTrk6OVprTI3FRSjeVHKgRpw5GHKmtt80qImq8N5auPc0ZlZi8tvXZizMj+upmfBg+Z8FohG+r2hrGl1RzWNGpcQB5lZi89vqFORRa6sePYZ5kSfJed2231KzsVZ7nn+o5DuGg8FzpgaC89srVWkY+ib+GkMPm7teoVA4kmSSSdScye8pkpQAkilKaUAJNKeUyAEknCIthFgBKkcRlHBRJ5SGSh8Lusd6mnMDXy/4VWnCKTHyZY2i8ccGOtADid5G/yhc4qmZy91ACpGBUtKhOTZaVL4rPpdC4tLOGESO4p7qrBoLHOyOk7iea42U1Maaa0qQRk4tM0l3VzSzOZgCN0B4cR3GPVXd8vYC77xz8eCWgj7stbOXGZCxthtWEhrtPhJ9l1upPaO+Y8DmPVKUZSuTZ0p4rhwT/Jf3c89ZsyGmB5mV0uKrLtqkOg/E0E98CPmrFzlnIxnfJ2RuKjlE4qOVBB5u9xJlxJJ1JMk95STJ1sAkkkyAHTSmlJADykr3ZfZWtby8US1uAfET1jrhEe6u7y2YoGjTFIGlXxBjsZcWuOjgdYI1yyyUPJFOmaRxSkrSMSyPimOAgep08kCsr/uSpZKvR1oJLQ5rmmWuad4+irYVENUKUydJMQySdJACCcJk6ACAXVZ25/vuXICp6T0xFtSpCD4Lo6KZyGWfeuKz2iIXdRtTcg7fl3bvaUwOK105kjwVhZHio0fiAg94ylQVHtcMv1jd8lFd+VQsLi0EwS3PKRPyPgq39GXimoP9StGkuqyOLndYEsaScxk0GDmNTmuxzlwWKsylVe1h6RsFodyI18D7KV1dYzTTplTlyprr/WSuKjxKJ1ZB0qyZBg0kMpLcQ8pkkyAEkkr+4tj7Ta6bqlBrSGzkXQ50a4co8yEm0uxxi5aRtPsdsuIOIJyeBAMTvzVjtbSijVc3I0q7nHiA2oQT5Erl+x55oucx4IcKhBadQQYgrQ3zQm02qk7sOOLvFRocfVy451yv7no474pfYo9urkFe7mVqUvqU3MIgS5zakNc0bzmWnwXld4XfVoPNOvTdTeADheCDB0Oe5ez7IkV7AaBPXb1WneH03Sw+bQjvS5Re9hJgfxNBpbTPxY2TLHcjEeRWuOaWjHLi5XI8MTI3NIMEQRkQciCNQQhXQcYySdJADJ0kkCHRNKFEAmBM16ka9QNUjUxHQyrCkZUh7Tz99VyhOdEwTp2bG7LPjqBuTTBE6SQN/M6KV1MKC7r4ioajmghwExuJjOO8BdTcxPFYyhKPzHTmnGbuPRzvpKLol2lqjwrMwPOwnXtVmsdOmIpsY0cGtAUFW5LO84nUKZPHCM+/ithWeWXTcde0n7lhIGrjk0eJ18Fy22zdE8sLmuLciWGWzvE716Ltte/8NRFKjDX1AQMOWCno4iNCdB48F5pCYDLa/Zxtg6x1OidnSefFpO8cuSxkJoUyVqi4TcXaPXruvKmL0qmmZbUwuPCXAAjzE+K2G1tMMtNCpurUsJ/NTPvDx5LwW7bwLajXzmNT8175bf+qu6lVHaplrxyGEh3v6LmlGtHfHJzplFdFl/g7Y9hyp1yK1I7pPbZ4HP+5dNxW/8AhL1tFImKdfDWYDpiOTwPET4q9s1lbbbvY9sdJRONjv6m9odxEhBedxMtNOnXYQ2tRGJp3Eb2u5ZJdbQN3pnln2x7Piha/wCIotilaZcY0FYZvHKZDu/EvPivpS97DTtlidTrADEMo1a8aFp4yvnm+7IyjWdTpv6QNMF0R1hqJ3xxXRjlZyZYcWcCSUpStDEcJ02JNiQIJOHqMlIJ2B0NcjCgBUgcmmIlThMDkiaFQFxYA8MMDqugZznBnXdor6xmWDlkju60Td/RuboZpuAnF1zi8ut4KO6B1Xfm9ws8kuXZqv8Anr2TEIF0OahwrIzNECiBUSC3fyqn/rf/AIlaCPKNo7x/iLQ+p8M4WfkbkPPM+Kr2hCFIxMokbTTminCkf+/NAHMGwcludn/tEfZ7ObO+liZhwyHZx3FYqoo3JOCl2VGbj0epbK7f07PSNJlQNDiXRVaRE6gOBhWQ20s7KcG0gDe1hkmd0CSvGkxWfhRp55HoN+faK00nUrHTc0uBHTVD1mg69G2TBPFedlEUKtJLozlJy2xJBMnKZIySSSYCThMkEAGEYKBqJqYiek7yU7QuZvyK6vqrRJoLtrVOjaxpdEyAJyMk5R4q9sLy9kuAB4gRijeefNUNh/kjvKvbo/l+PyCwfzM7JteJJL0TOagwKdyApHKf/9k=",15
2000s,2005,Myspace,Tech,,,http://assets.pop-buzz.com/2015/00/myspace-in-2005-1420219570.png,15
1990s,1999,Nike Y2K Jogger,Tech,,,http://i.ytimg.com/vi/0Zvs-bz1CXM/hqdefault.jpg,15
1980s,1985,Nintendo,Tech,,,http://cdn.arstechnica.net/wp-content/uploads/2013/07/NES-Console-Set.jpg,15
1990s,1991,"Nirvana, Kurt Cobain",Music,,,http://ww2.hdnux.com/photos/27/24/40/6113313/3/960x540.jpg,15
